date,price,open,high,low,volume,relative_change
2012-02-29,1408.5,1365.9,1419.2,1340,,0.0313
2012-01-31,1365.7,1312.5,1378,1312.5,,0.0406
2011-12-31,1312.4,1258.9,1333.5,1258.9,,0.0436
2011-11-30,1257.6,1246.9,1269.4,1202.4,,0.0085
2011-10-31,1247,1251,1277.5,1158.7,,-0.005
2011-09-30,1253.3,1131.2,1292.7,1074.8,,0.1077
2011-08-31,1131.4,1219.1,1229.3,1114.2,,-0.0718
2011-07-31,1218.9,1292.6,1307.4,1101.5,,-0.0568
2011-06-30,1292.3,1320.6,1356.5,1282.9,,-0.0214
2011-05-31,1320.6,1345.2,1345.2,1258.1,,-0.0183
2011-04-30,1345.2,1365.2,1370.6,1311.8,,-0.0135
2011-03-31,1363.6,1329.5,1364.6,1294.7,,0.0285
2011-02-28,1325.8,1328.6,1332.3,1249,,-0.0011
2011-01-31,1327.2,1289.1,1344.1,1289.1,,0.032
2010-12-31,1286.1,1257.6,1302.7,1257.6,,0.0227
2010-11-30,1257.6,1186.6,1262.6,1186.6,,0.0653
2010-10-31,1180.5,1185.7,1227.1,1173,,-0.0024
2010-09-30,1183.3,1143.5,1196.1,1131.9,,0.0369
2010-08-31,1141.2,1049.7,1157.2,1049.7,,0.0876
2010-07-31,1049.3,1107.5,1129.2,1039.7,,-0.0475
2010-06-30,1101.6,1031.1,1121,1010.9,,0.0688
2010-05-31,1030.7,1087.3,1131.2,1028.3,,-0.0539
2010-04-30,1089.4,1188.6,1205.1,1040.8,,-0.082
2010-03-31,1186.7,1171.2,1219.8,1170.7,,0.0148
2010-02-28,1169.4,1105.4,1180.7,1105.4,,0.0588
2010-01-31,1104.5,1073.9,1112.4,1044.5,,0.0285
2009-12-31,1073.9,1116.6,1150.5,1071.6,,-0.0369
2009-11-30,1115.1,1098.9,1130.4,1085.9,,0.0178
2009-10-31,1095.6,1036.2,1113.7,1029.4,,0.0573
2009-09-30,1036.2,1054.9,1101.4,1020,,-0.0198
2009-08-31,1057.1,1019.5,1080.2,992,,0.0358
2009-07-31,1020.6,990.2,1039.5,978.5,,0.0335
2009-06-30,987.5,920.8,996.7,869.3,,0.0742
2009-05-31,919.3,923.3,956.2,888.9,,0.0002
2009-04-30,919.1,872.7,930.2,866.1,,0.053
2009-03-31,872.8,793.6,888.7,783.3,,0.0939
2009-02-28,797.9,729.6,833,666.8,,0.0854
2009-01-31,735.1,823.1,875,734.5,,-0.1099
2008-12-31,825.9,903,943.9,804.3,,-0.0856
2008-11-30,903.2,888.6,918.9,815.7,,0.0078
2008-10-31,896.2,968.7,1007.5,741,,-0.0749
2008-09-30,968.8,1164.2,1167,839.8,,-0.1694
2008-08-31,1166.4,1287.8,1303,1106.4,,-0.0907
2008-07-31,1282.8,1269.4,1313.2,1247.5,,0.0122
2008-06-30,1267.4,1276.7,1292.2,1200.4,,-0.0098
2008-05-31,1280,1399.6,1404,1272,,-0.086
2008-04-30,1400.4,1386,1440.2,1373.1,,0.0107
2008-03-31,1385.6,1326.4,1404.6,1324.3,,0.0476
2008-02-29,1322.7,1330.5,1359.7,1257,,-0.0059
2008-01-31,1330.6,1378.6,1396,1316.8,,-0.0347
2007-12-31,1378.5,1468,1471.8,1270,,-0.0612
2007-11-30,1468.4,1479.6,1523.6,1435.7,,-0.0086
2007-10-31,1481.1,1545.8,1545.8,1406.1,,-0.0441
2007-09-30,1549.4,1527.3,1576.1,1489.6,,0.0148
2007-08-31,1526.8,1474,1538.7,1439.3,,0.0358
2007-07-31,1474,1455.2,1503.9,1370.6,,0.0128
2007-06-30,1455.3,1504.7,1555.9,1454.2,,-0.0319
2007-05-31,1503.3,1530.6,1540.6,1484.2,,-0.0178
2007-04-30,1530.6,1482.4,1535.6,1476.7,,0.0325
2007-03-31,1482.4,1420.8,1498,1416.4,,0.0433
2007-02-28,1420.9,1406.8,1438.9,1364,,0.01
2007-01-31,1406.8,1437.9,1461.6,1389.4,,-0.0218
2006-12-31,1438.2,1418,1441.6,1404,,0.014
2006-11-30,1418.3,1400.6,1431.8,1385.9,,0.0126
2006-10-31,1400.6,1377.8,1407.9,1361,,0.0165
2006-09-30,1377.9,1335.8,1389.5,1327.1,,0.0315
2006-08-31,1335.8,1303.8,1340.3,1290.9,,0.0245
2006-07-31,1303.8,1278.5,1306.7,1261.3,,0.0212
2006-06-30,1276.7,1270.1,1280.4,1224.5,,0.0051
2006-05-31,1270.2,1270,1290.7,1219.3,,0.0001
2006-04-30,1270.1,1310.6,1326.7,1245.3,,-0.0309
2006-03-31,1310.6,1302.9,1318.2,1280.7,,0.0122
2006-02-28,1294.8,1280.7,1310.9,1268.4,,0.011
2006-01-31,1280.7,1280.1,1297.6,1253.6,,0.0005
2005-12-31,1280.1,1248.3,1294.9,1245.7,,0.0255
2005-11-30,1248.3,1249.5,1275.8,1246.6,,-0.001
2005-10-31,1249.5,1207,1270.6,1201.1,,0.0352
2005-09-30,1207,1228.8,1233.3,1168.2,,-0.0177
2005-08-31,1228.8,1220.3,1243.1,1205.3,,0.007
2005-07-31,1220.3,1234.2,1245.9,1201.1,,-0.0113
2005-06-30,1234.2,1191.3,1245.2,1183.5,,0.036
2005-05-31,1191.3,1191.5,1219.6,1188.3,,-0.0002
2005-04-30,1191.5,1156.8,1199.6,1146.2,,0.03
2005-03-31,1156.8,1180.6,1191.9,1136.2,,-0.0202
2005-02-28,1180.6,1203.6,1229.1,1163.7,,-0.0191
2005-01-31,1203.6,1181.3,1212.4,1181,,0.0189
2004-12-31,1181.3,1211.9,1217.9,1163.8,,-0.0252
2004-11-30,1211.9,1173.8,1217.3,1173.8,,0.0325
2004-10-31,1173.8,1130.2,1188.5,1127.5,,0.0386
2004-09-30,1130.2,1114.6,1142,1090.2,,0.014
2004-08-31,1114.6,1104.2,1131.5,1099.1,,0.0094
2004-07-31,1104.2,1101.7,1109.7,1060.7,,0.0023
2004-06-30,1101.7,1140.8,1140.8,1078.8,,-0.0343
2004-05-31,1140.8,1120.7,1146.3,1113.3,,0.0179
2004-04-30,1120.7,1107.3,1127.7,1076.3,,0.0121
2004-03-31,1107.3,1126.2,1150.6,1107.2,,-0.0168
